,address_1_a,address_1_b,address_2_a,address_2_b,age_a,age_b,date_of_birth_a,date_of_birth_b,first_name_a,first_name_b,last_name_a,last_name_b,phone_number_a,phone_number_b,soc_sec_id_a,soc_sec_id_b,state_a,state_b,street_number_a,street_number_b,town_a,town_b,zipcode_a,zipcode_b
23,cloncurry street,cloncurry street,creston,,28.0,28.0,19321102,19321102,jack,jack,steinert,steinert,03 28804732,03 28804732,1463606,1460306,vic,vic,17,17,berwick,berwck,4557,4557
24,croton street,croton street,,,,,19260303,19260303,jared,jaref,nguyen,nguxrn,02 48791565,02 48719565,3743778,3743778,wa,wa,5,5,winston hills,winston hills,2265,2265
25,long place,long place,strathleven,,37.0,37.0,19790104,19799104,jack,jack,blake,,03 01803187,03 01803187,3607706,3607706,vic,vic,60,60,toorak,tooak,2590,2590
26,wrixon street,wrixon street,,,19.0,14.0,19140622,19140622,lily,lily,towey,towy,08 19591612,08 19591612,9680834,9680834,vic,vic,9,0,nunawading,nunawading,6061,6061
27,jamieson crescent,jamieson crescent,nazareth village,nazareth village,,,19850721,19850721,georgia,georgie,hyland,hylahd,07 74224825,07 74224825,3343150,3343150,nsw,nsw,,,leeton,leeton,6208,6298
28,brereton street,brereton street,folscoit,folscoit,26.0,26.0,,,grace,grace,nguyen,nguurn,03 12810922,03 12810922,1760088,1767088,act,act,6,6,pakenham,pakenham,3018,3018
29,greenough circuit,greenough xircuit,tesbury,tesbury,25.0,25.0,19581101,19586101,joshua,joshai,wastell,wastell,07 26138848,07 26138848,8783253,8783253,vic,vic,37,37,broken hill,broken hill,2251,2251
30,streeton drive,streetoun drive,,,20.0,20.0,19520928,19520928,ethan,ethapn,hamon,ham,03 81606310,03 81606310,8663024,8663024,nsw,nsw,,,st andrews,st andrews,3556,3556
31,fowles street,fowles street,,,22.0,21.0,,19450017,joshua,joshua,thiessen,thiessen,02 04483337,02 04483337,4445348,4445348,sa,sa,9,9,marrara,marrarwa,2093,2093
32,garrick street,garrick dtreet,else wares,else wares,6.0,6.0,19670830,19679830,charlotte,charlotte,cholawinskyj,cholawinssyj,08 57510320,08 57510320,2315170,2315110,,,4,4,carnegie,carnegie,4701,4701
33,boolee street,boolee street,,,29.0,29.0,19880130,19880130,lachlan,lachlvn,paterson,paterson,04 40650374,04 40659734,1552933,1552933,nt,nt,118,118,burleigh heads,burleig hheads,6076,6076
34,gascoyne circuit,gascoyne coircuit,,,29.0,,19340706,19340706,kelsey,kelsey,hebberman,hebberman,08 75163817,08 75163817,3676799,3676799,nsw,nsw,12,12,jesmond,jesmod,3163,3163
35,coranderrk street,coranderrk street,,,33.0,33.0,19750309,19750309,andrew,andrew,green,grew,02 30602443,02 30602443,6658741,6658442,vic,vic,66,66,elwood,elwood,2289,2289
36,ashcroft crescent,ashcroft crescent,corn hill,corn hill,31.0,31.0,19460626,,finley,finlwy,godfrey,godfrey,04 71023185,04 71023185,8648003,8648003,tas,tas,4,4,westmeadows,westmeadows,2257,2275
37,dalgarno close,dalgarnso close,,,41.0,41.0,19960824,19960824,felicity,donkin,donkin,felicity,03 17438262,03 17438262,3967883,3967883,nsw,nsw,57,57,mount perry,mount perry,2480,2480
38,chuculba crescent,chuculba crescent,gowrie,gowrie,31.0,31.0,,,ruby,r.,snell,sneol,03 29465826,03 29468526,8581772,8581772,nsw,nsw,2,9,como,como,3579,3579
39,trenwith close,trenwithqclose,,,38.0,38.0,19551117,19551117,samantha,samantha,clarke,clarke,03 46939709,03 46939709,4962872,4962872,,,17,13,oaklands park,oaklands park,5112,5112
40,angliss place,angliss place,,diment towers,30.0,30.0,19461220,19461220,john,john,reid,reid,08 21764175,08 21764175,4512880,4512480,,,15,15,goonellabah,goonelwlbah,4753,4753
41,hellyer street,hellyer street,shepherd lodge,,27.0,27.0,19490325,19490325,mitchell,m.,helen,helen,07 74810780,07 74810780,3962842,3962842,vic,vic,33,33,gilmore,gilmur,2209,2209
42,finn street,finnstreet,,,,,19260222,19260222,phoebe,phoebe,miles,miles,04 91342761,04 91433761,5616649,5616649,tas,tas,28,28,bundeena,bundeena,4717,4177
43,costello circuit,costello circuit,,,,,19210913,19210913,liam,lda,bakirtzakis,bakirtxakis,08 61932223,08 61932223,7326369,7326369,qld,qld,998,9928,durras south,durras south,6148,6148
44,heritage road,heritagd road,the shanty,the shanty,26.0,26.0,19350105,19350105,liam,liam,clarke,clarge,02 32174460,02 32174460,3706466,3706466,vic,vic,237,237,hoppers crossing,hoppers crossing,5074,5074
45,barr-smith avenue,barr-smith avenue,,,26.0,26.0,19880423,19884203,claire,claire,hearn,ohearn,,,2100977,2100977,wa,wa,48,468,cabramatta,cabramatta,6107,6107
46,schlich street,schlich street,,,,,19410205,19414605,emiily,emiily,dinnison,dinnsln,02 18398890,02 18398890,3770763,3770763,qld,qld,24,24,mount isa,mount isa,4350,4350
47,hopkins street,hopkins street,fiveways,fiveways,28.0,28.0,19600216,19600216,douglas,d.,braunack,braunack,04 16343520,04 16343520,6236039,6236939,,,12,14,page,pane,4214,4214
48,derrington crescent,derrington crescent,,,24.0,24.0,19580810,19580820,joshua,joshua,ikeda,ikedq,07 80970700,07 80970700,9583568,9583568,sa,sa,20,28,dromana,dromana,5157,5157
49,bisdee street,bisdee swtreet,,,34.0,34.0,,19260314,matthew,matthrw,green,green,02 99197957,02 99197957,5278268,5278268,qld,qld,86,86,bedford park,bedford park,6232,6232
50,collocott crescent,collocott crescent,nootina,nootina,,,19650718,19650718,,,clarke,clariue,,,4315488,4315488,nsw,nsw,33,33,embleton,embleton,2605,2605
51,newman morris circuit,newman morris circuit,cranleigh,cranleigh,,,19640508,19640508,keelin,keelin,wardle,wardle,02 44478750,02 44478750,8637624,8637624,,,2,2,gulargambone,gularqkgone,4075,4075
52,marquet retreat,marquet retreat,amh representative,amh representative,37.0,37.0,19080501,19085901,amy,amy,youngs,youngs,07 81760418,07 81760418,5899886,5899886,wa,wa,25,23,pallamallawa,pallamallawa,7270,7270
53,conder street,conder sfreet,,,33.0,33.0,19610413,19614713,mikayla,mik ayla,fernance,fernance,08 14541484,08 14541484,4861676,4861676,nsw,nsw,68,68,camp hill,camp hill,4054,4054
54,platt place,plce platt,,,35.0,35.0,19121019,19121019,peter,peter,reid,,08 11793876,08 11793876,1987801,1987701,nsw,nsw,43,43,yagoona,yagoona,3030,3030
55,woodfull loop,woodfull loop,,,,33.0,19470902,19470902,hollie,hollie,hand,hand,02 94587913,02 94587913,5756895,5756295,act,act,32,32,hawthorn,hawthorn,2117,2171
56,mainwaring rich circuit,mainwaring rfich circuit,kinvarra,,21.0,21.0,19380809,19380809,olivia,olivia,ryan,rtn,08 27163274,08 27163274,3194823,3194823,vic,vic,36,36,port elliot,port elliot,2019,2019
57,maclean street,maclean street,,,12.0,,19920906,19920906,deakin,deakin,bradshaw,bradshaw,02 61256870,02 61256870,7261468,7261468,nsw,nsw,38,30,orange,oranhe,6018,6018
58,wray place,wray place,the willows,the wlilows,28.0,28.0,,,ella,ella,wilkins,wilkins,08 50096029,08 50069029,9762511,9762511,nsw,nsw,9,9,belgrave,4740,4740,belgrave
59,moorhouse street,moorhouse street,,,13.0,13.0,19371115,19371115,madison,madison,lete,lete,07 14407283,07 14404283,8901356,8901536,wa,wa,5,5,dungog,dunog,2261,2262
60,burtt crescent,burtt crescent,,,25.0,25.0,19860813,19860813,mason,m.,,,08 30668313,08 30668313,5446370,5447370,nsw,nsw,1,1,black rock,black fock,4306,4306
61,outtrim avenue,outtrim alenue,,oberne park,19.0,19.0,19710202,19710262,heath,heath,sandiford,sandiford,08 28046637,08 28046637,2465701,2465701,sa,sa,26,26,glenwood,glenwood,7000,7000
62,larakia street,larakia street,tallaranie,tallaranie,27.0,27.0,,,lachlan,l.,paterson,paterson,02 68503742,02 68503742,3398140,3398140,wa,wa,1,2,junee,junee,4872,4872
63,fullerton crescent,fullerton crescent,,,39.0,39.0,19911204,19911204,jesse,jess,mckiernan,mckierjan,04 21358040,04 21358040,8362098,8362098,nsw,ns,39,39,kingsford,kingsford,2906,2906
64,atherton street,atherton tsreet,glenanare,glenanare,21.0,21.0,,,alexander,alexander,stearnes,stearhzes,08 57991767,08 57991767,7193077,7193077,nsw,nsw,62,6,clayton,clayton,2540,2540
65,ern florence crescent,ern florenc j crescent,,,26.0,26.0,19490328,19490328,isabelle,isabekle,astley,astley,08 44591354,08 44581354,6326465,6326465,nsw,nsw,34,34,preston,preston,2195,2195
66,cockerill place,cockerill place,,,34.0,34.0,19880312,19880312,erin,erin,clapham,clapjam,02 55196112,02 55196112,9172022,9162022,qld,qld,61,61,elanora heights,elanora heights,2643,2643
67,mcdonald street,mcdonald street,,,33.0,33.0,19601106,19601106,anari,anari,stubbs,stubbs,07 42501571,07 42501571,8395309,8395329,qld,qld,55,50,aldinga beach,aldinaibeach,2517,2517
68,gregson place,gregson place,,,29.0,29.0,19750925,19753925,sarah,sarah,ting,tingh,07 75983936,07 75983936,1920611,1920611,sa,sd,10,19,moree,moree,2680,2680
69,wellington street,wellington street,nioka,nioka,24.0,24.0,19510503,,dylan,dillon,ayres,ayres,03 99491119,03 99491119,6496589,6496589,vic,vic,9,9,arundel,arundel,4566,4564
70,mollee crescent,mollee crescent,,,31.0,31.0,19320318,19321018,mitchell,mitchell,concannon,concannon,08 84871001,08 84871001,9878966,9878956,nsw,nsq,73,73,brandon,brandon,2527,2527
71,irvine street,irvindjstreet,,,6.0,6.0,19050813,19058013,samantha,samantha,o'shannessy,o'shannessy,04 62214959,03 03777338,4206019,4206019,wa,wa,,,st kilda,st kilda,2067,2067
72,slessor crescent,slessor crescent,st francis vlge,,24.0,24.0,19730916,19730916,jade,jade,every,every,04 01727661,04 01726661,7131125,7131125,,,25,25,bayonet head,bayonet head,4161,4164
73,hyndes crescent,hyndes crescent,,,35.0,35.0,19821124,19821124,,,,,08 11033376,08 11033376,5507022,5507052,qld,qd,11,11,bull creek,bull creek,2340,2340
74,wynn street,wynn street,riversdale caravan park,,30.0,30.0,19921119,,bethany,bethany,kyriacou,kyriacou,08 05195286,08 05195286,4606719,4606719,vic,vic,4,4,keilor east,keilor east,2747,2747
75,summerland circuit,summerland circuit,villa 2,,33.0,33.0,19300617,19300617,arabella,arabella,innis,innis,03 51835887,03 51835887,3132611,3132611,nt,,52,52,surfers paradise,surfers paradise,2300,2300
76,arkana street,arkana fteeet,,,,40.0,19720829,19720829,connor,c.,crook,crook,04 66505293,04 66505293,9000274,9000274,nsw,nsw,315,313,clifton springs,clifton springs,2489,2489
77,leahy place,leahy place,,,39.0,39.0,19481125,19481125,jasmine,jasjoe,harrington,harrington,07 48331061,07 48331061,4517539,4517539,qld,qld,109,1091,st albans,st albans,2048,2048
78,hanretty place,hanretty place,,,16.0,16.0,19710612,19710012,ashlie,ashie,hingston,hingspn,07 25894222,07 25894222,1914568,1914568,nsw,nsw,4,4,pymble,pymble,2153,2153
79,burkitt street,burkitt street,,,26.0,26.0,19620920,19620920,jordan,jordan,breedt,brdxdpt,08 48975627,08 48975627,3303696,3303696,sa,sa,36,36,wyoming,wyomins,7322,7322
80,powlett street,powlett street,,kingsgrove,,,19730622,19376022,teal,teal,herbert,herbert,04 06253684,04 06253684,3323239,3323239,nsw,nsw,139,139,mountain creek estate,mountain crtek estate,6003,6003
81,throsby crescent,throsbh crecent,,,29.0,29.0,19811024,19811024,madeline,madele,suang,suang,04 74986185,04 74986185,4174021,4174021,nsw,nsw,15,15,berwick,berwick,3106,3106
82,grylls crescent,grylls crescent,,,22.0,,19500121,19500121,meg,meg,kooymans,kooymans,04 52767446,04 52767446,4533985,4533985,qld,qld,2,2,mont albert,mont albert,3380,3308
83,bandjalong crescent,bandjalong crescent,,,30.0,30.0,19340427,19340477,hannah,h.,dreckow,dreclow,03 95571471,03 95571471,6867084,6867081,nsw,nsw,,,camperdown,camperdown,3064,3064
84,bainbridge close,bainbridg zeclose,,,40.0,40.0,19560221,19560121,ethan,ethan,croker,croker,02 27002026,02 27002026,9057908,9057908,vic,vic,14,13,bayview,bayview,3196,3196
85,namatjira drive,namatjira drive,,,29.0,29.0,19000113,19000113,mitchell,mitchll,hewson,hewson,07 57158974,07 57518974,3431168,1989056,nsw,nsw,18,18,palm cove,palm cove,2112,2112
86,wattle street,wattle street,elston,elstonq,38.0,38.0,19710811,19710811,lochlan,lochlan,caire,caire,07 70252946,07 70252946,3038895,3038895,nsw,nsw,57,57,wantirna,wantihra,6018,6018
87,pocket avenue,pocket avenue,,,22.0,22.0,19060819,19060819,kristin,kristin,white,white,08 54125840,08 54424840,9320469,9390496,qld,qld,,,lalor,lalor,5090,5090
88,greenough circuit,greenough circuit,,,27.0,27.0,19020930,19020290,,,tyack,tyack,04 32226958,04 32226958,8490269,8490269,vic,vic,38,38,torquay,torquay,2299,2928
89,cassinia street,cassinia street,,,25.0,25.0,19330920,19330930,kristin,kristin,yun,yun,07 05612769,07 05612769,2411254,2417254,,,47,5,concord,concord,2156,2156
90,eungella street,eungella street,,,24.0,24.0,19681005,19681005,jack,jacj,hannagan,hannagan,03 32140611,03 32140611,8343604,8343504,vic,vic,227,227,st clair,st clair,4873,4873
91,wattle street,wattlextreet,,,28.0,28.0,19830712,19830221,mollie,mollie,nguyen,nguyen,02 63847460,02 63847460,2049846,2049846,,,21,21,echuca east,echuca east,3555,3555
92,morton street,morton stteet,markool,,29.0,29.0,,,abbie,abbie,hanigan,hanigan,02 48564648,02 48546648,8692360,8692360,sa,sa,20,2,o'connor,o'connor,2066,2066
93,macrossan crescent,macrossan ctoescent,raffa estate,raffa estate,,,19230602,19230602,giorgia,giogia,fitzpatrick,fitzoatrick,08 23027124,08 23027124,5680277,5680277,wa,wa,2,2,cook,cook,4064,4064
94,crisp circuit,crisp circuit,,,,,19440720,19440720,harley,harlet,thorpe,thorpe,03 96030354,03 96030354,7177520,7177520,act,act,12,11,parkdale,parkdel,2065,2065
95,ellwood crescent,ellwood crescent,locn 411,,31.0,31.0,19090121,19090121,jack,jack,holmyard,holmyard,02 64746887,07 44888231,9920579,9920779,qld,qld,8,8,blacktown,blacktown,2018,2018
96,crozier circuit,crozier circuit,downlands farm,downlands farm,,,19451107,19807816,alexander,alexnder,mccarthy,mccarthy,08 68802254,08 68802254,7446309,7446309,qld,qld,6,5,hectorville,hectorville,4061,4061
97,lampard circuit,lampard xircuit,wombat hill,wombat hill,38.0,23.0,19490711,19495011,helena,helena,nguyen,nguyen,07 18574219,07 18574219,9278073,9278073,qld,qld,219,219,beveridge,beveridge,4559,4559
98,jarman place,jarman place,riverpark lodge,,24.0,24.0,19070729,19070729,madison,noble,noble,madson,08 54389241,08 54389241,3532005,3532005,nsw,nsw,21,21,ethelton,ethelton,3216,3216
99,bremer street,bremer tsreet,,,28.0,28.0,19600404,19600484,jack,jacp,bruhn,bruhn,07 27674065,07 27674065,8524132,8524132,nsw,nsw,29,29,carina heights,carina heights,3690,3690
100,crafer place,,,,22.0,22.0,19030526,19030526,flynn,flynn,crouch,croucth,03 85952290,03 85952290,6201551,5640240,vic,vic,69,69,blackmans bay,blackmans bay,3218,3218
101,kurundi place,kurundi place,cobbedah,cobbedah,,,19560309,19569409,stephanie,stephanie,campbell,campbell,02 28902706,02 28902706,5078344,5073844,vic,vic,11,1,montagu bay,montagu bay,5162,5162
102,macrobertson street,macrobertson street,,,32.0,32.0,19710904,19179004,raquel,raquel,papazafiropoulos,papazafiropoulos,03 51647051,03 51467051,7085742,7085742,,,67,67,manunda,manunfa,2210,2210
103,rupp place,rupp place,mortlach,mortlach,13.0,13.0,19130406,19130406,thomas,thomss,gulliver,gulliver,02 43322186,02 43322186,1461657,1461657,tas,tas,39,7,vincentia,vincentia,4051,4105
104,hollway street,hollway street,,,20.0,20.0,19440823,19440832,caitlin,,toseland,toselmpd,02 04969927,02 04969927,8432162,8432162,qld,qld,11,11,bayview heights,bayview heights,2290,2290
105,bywaters place,bywaters place,lemnos,,14.0,14.0,19900221,19900221,abbey,abbpy,laing,laing,02 47548299,02 47548299,6631342,6631342,qld,qld,16,61,llandilo,llandilo,5210,5201
106,whitelaw street,whitelaw street,,,30.0,,19980129,19980129,daniel,daniel,tomney,tomney,04 42301306,04 42391306,3970287,3970287,nsw,nsw,71,71,buninyong,buninong,4510,4510
107,elvire place,elvire place,berkeley vlge,,33.0,33.0,19760216,19760216,andrew,andrew,kang,kang,03 13787353,03 13787353,6165387,6165387,vic,vic,114,112,thornlie,thornlie,4650,4605
108,tepper circuit,tepper circuit,,,29.0,29.0,19320901,19302801,jack,jack,haemel,haemel,03 31689191,03 31689191,3982546,3982546,wa,ns,2,2,old toongabbie,old toongabbie,2064,2064
109,yumba avenue,yumba avenue,ellwood,ellwood,,,,,carly,carly,hilton,hiltom,07 97389782,07 97389782,9024494,6764185,vic,vic,25,25,mill park,millpaark,5048,5048
110,demaine crescent,demaine crescent,,,,,19081121,19081121,oliver,olier,gillard,gillard,07 90816196,07 90816196,5253515,5253515,nsw,nsw,290,209,lysterfield,lystervield,3156,3156
111,meredith circuit,meredith circuit,greenwood,greenwood,22.0,22.0,19400605,19400605,emiily,emiily,large,large,08 16679559,08 16797559,6462946,6462946,,,14,14,floreat,floreat,2500,2850
112,hare place,hare plzce,,,32.0,32.0,,,dillon,dillon,kilmartin,kilmlartin,08 96225696,08 96225696,3555410,3555410,vic,vic,10,10,elizabeth park,elizabeath park,3216,3216
113,eugenia street,eugeni astreet,sect 179,sect 179,29.0,29.0,,,carmen,carmen,thorpe,thlrpe,08 89228121,08 89228121,1381018,1381018,qld,qld,20,210,yarra junction,yarra jinction,5013,5013
114,priestley place,priestley place,indooroopilly shopping centr,indooroopilly shopping centr,27.0,27.0,19220507,19220407,taylah,t.,waller,wallef,04 41231416,04 41231416,3455025,3455025,nsw,nsw,10,10,coleambally,colleambally,4383,4383
115,may maxwell crescent,may maxwell crescent,,,21.0,21.0,19240528,19240528,deakin,deakin,canizares,canizares,04 06809410,03 08774498,7072600,7072600,nsw,nsw,17,17,new town,new town,3106,3106
116,florence taylor street,florence taylor street,cotton tree caravan park,cotton tree caravan park,25.0,25.0,19440828,19440828,ellouise,ellouise,ferris,fwrrs,07 76544392,07 76545392,7047287,7047257,,,,,bacchus marsh,bacchus marsh,6082,6082
117,english court,english court,dalkeith cottage,dalkeith cottage,28.0,28.0,19220305,19220305,bethany,bethany,patience,patience,02 53866559,02 53866559,1379622,1379712,nsw,nsw,546,546,yamba,yamba,6239,6239
118,shackleton circuit,shackleton ckrcuit,yatcha,yatcha,,,19601214,19601214,mia,m.,morrison,morrison,04 14117456,04 14117456,8347964,8347964,nsw,nss,44,44,north ryde,northayde,2145,2145
119,morton street,morton street,dargam,,28.0,28.0,,,tara,tara,matthews,matews,02 02238274,02 02238274,6447644,6447644,vic,viv,10,10,safety bay,safety bay,3939,3939
120,bullock circuit,bullock circuit,,,35.0,35.0,19160427,19160427,meg,me,david,david,07 78434943,07 78434943,5294397,5294397,nsw,nsw,16,17,albion park rail,albion park rail,4305,4359
121,seymour place,seymour tplace,brentwood village,brentwoodqbillage,31.0,31.0,19310610,19310610,ruby,ruby,mew,mew,08 35893650,08 35893650,2225335,2225335,vic,vic,26,26,tannum sands,tannum ands,4211,4211
122,bellchambers crescent,bellchamberx crescent,kurrajong,kurrajong,28.0,82.0,19900722,19900722,mia,mie,kiss,kiss,08 39953878,08 39953878,2170725,2170725,act,acf,11,11,caulfield north,caulfield north,5108,5108
123,fremantle drive,fremantlecrive,hazelwood garden,,31.0,31.0,19221118,19229118,lucy,lucy,bralic,bralic,08 88490440,08 88490440,7684441,7684441,qld,qld,27,27,wilston,wilston,3910,3910
124,,,altona,,34.0,34.0,19310314,19310314,joshua,joshua,rawlings,rawlings,03 35089387,03 35089387,9703089,9703089,vic,vid,19,18,bethanga,bethknga,2068,2068
125,jaeger circuit,jaeger circuit,acton park,,34.0,34.0,19361017,,hannah,hannah,de angelis,de angelis,03 27278860,03 27278860,8976721,8976721,sa,,487,7487,kingsford,kingsford,2607,2607
126,davenport street,davenportmstreet,abervle ret vllge,abervle ret vllge,25.0,25.0,19340519,19340519,brianna,brianna,campbell,campbell,03 29129512,03 29135912,4201588,4201588,,,1,1,berwick,berwck,2228,2228
127,harkness street,harknessstreet,,,34.0,34.0,19490320,19490320,charles,charlhes,chiappetta,chiappedtta,,,3149553,3149553,nsw,nsw,17,17,hastings,hastings,5159,5195
128,sid barnes crescent,sid barnes crescent,,,,,19340131,19340131,jai,jai,kaithakulam,kaithakulam,02 04257348,02 04253748,4469105,4469105,nsw,nsw,27,201,armidale,armidale,4350,4350
129,canberra avenue,canberra s venue,warialda,warialda,24.0,24.0,19910611,19910611,madeline,madeline,parr,parr,03 73712940,03 73712940,2403122,2403122,tas,tas,27,27,st kilda east,st kilda east,4865,4865
130,grayson street,graysonuhtreet,,,32.0,32.0,19251230,19251230,lauren,luren,ryan,ryan,08 29192452,08 29192452,8211121,8211121,nsw,nsw,28,28,north ryde,north ryde,2067,2967
131,leahy close,leahy clqose,tyrone heights,tyrone heights,26.0,26.0,19600122,19600122,tayah,tayah,lamprey,lamlprey,02 23631366,02 23631366,7727704,7727704,nsw,nsw,50,50,gorokan,gorlkan,4305,4350
132,vanzetti crescent,vanzetti crescent,,,30.0,30.0,,,rhiannon,rhiapnon,,deakin,04 51916824,04 51916824,7218280,7218280,qld,qld,106,106,hammondville,hammondille,5095,5095
133,outtrim avenue,outtrim avenue,,,32.0,35.0,19940509,19940579,tyron,tyrnv,juntanamalaga,juntanamalaga,02 80843759,02 80843759,3964967,3964967,qld,qld,9,9,woodville gardens,woodville gardens,4305,4305
134,pring place,pring place,,,38.0,38.0,19311018,19311018,callie,c.,campbell,campbrol,04 18658158,04 18658158,7105423,7106432,nsw,nsw,11,11,winston hills,winston hills,2073,2073
135,newman morris circuit,newman morros circuit,cherrybank,cherrubank,,,19831031,19831031,isabelle,isabelle,green,gren,08 92881243,08 92881243,8770356,8770356,,,46,46,rankin park,ranki n park,2071,2071
136,salsola street,salsola street,,,28.0,29.0,19950111,19950111,lauren,lauren,clarke,,08 70084246,08 70084246,9480833,9480833,qld,qld,176,176,belgian gardens,belgianwgjrdens,3195,3195
137,brigalow street,brigalowistreet,,glengaravillage,36.0,36.0,19561113,19561113,jessica,jessica,leicester,leicester,04 08569373,04 08569373,1098734,1098734,qld,qld,99,99,cowra,cowra,4650,4650
138,odea place,odea place,,,,,19410318,19410318,william,w.,nguyen,ngyypn,02 81777372,02 81777372,6701583,6701583,sa,sa,2,2,gordonvale,gordonvale,2065,2065
139,mccormack street,mccormack street,pmb 63,,27.0,27.0,,,mikayla,mikayla,gibb,gib,,,1184687,1184687,qld,qld,8,8,burwood east,burwoodeast,4350,4350
140,folingsby street,folingsby street,nyora,nyora,7.0,7.0,,,isabella,bradshaw,bradshaw,isabella,04 85392748,04 85392748,7018277,7018277,sa,sa,59,59,broadbeach waters,broadbeach waters,3249,3249
