first_name,last_name,street_number,address_1,address_2,town,zipcode,state,date_of_birth,age,phone_number,soc_sec_id
adam,hammer,44,luke street,sec 21,pearcedale,6100,sa,19760616,,07 69256127,2224490
alisa,bullock,8,lubuma place,,bar beach,3930,nsw,19940323,,07 37849433,3634296
lewis,stephenson,393,barrington crescent,villa 2,rosebud,2135,vic,19621204,22.0,02 46095289,6747909
maya,armfield,,musgrave street,moline village,deniliquin,3122,vic,,26.0,04 55170371,5510410
aiden,spong,18,dobbie place,,riverwood,4207,,19780526,24.0,08 96770122,2181102
willow,zecchini,21,wyles place,,yangebup,6061,nsw,19480211,,,1389899
zachary,smallacombe,8,robinson street,,ourimbah,3125,,19000218,,03 05267771,7504706
emiily,mazzone,175,pethebridge street,fairholme,wanneroo,4217,sa,19281220,6.0,08 66436639,7868535
cooper,hand,9,tudor place,whylackie,bayview heights,6006,nt,19000904,30.0,03 27619871,9822007
shannon,badman,26,jarrahdale street,,bonnells bay,2257,qld,19960914,23.0,02 29205913,6953470
bridget,hyland,20,biraban place,,north bondi,2541,vic,19410712,30.0,03 53024245,9181144
aneka,byers,3,maclachlan street,,new farm,2482,sa,19221127,,02 50504774,8472834
tiarna,noble,4,,,dromana,3193,nsw,19140202,22.0,04 13060444,8394368
dante,wooley,3,trussell place,knackery rhs,underdale,4858,qld,19530721,26.0,,9656996
amaya,goldsworthy,6,kinkead street,,sunshine north,3518,vic,19810417,33.0,,4985902
jesse,quill,12,brickhill place,salmaldo caravan park,moree,2213,nsw,19380515,33.0,02 69600295,1074376
,armfield,59,meymott place,marsden hall,ballina,3564,nsw,19341014,27.0,02 48108088,7649704
tayah,chetter,29,namatjira drive,cluan,leongatha,3074,nsw,19150726,10.0,03 15816045,6877207
laura,barton-ancliffe,82,lacey place,,fraser,2256,qld,19460717,,07 20239940,3248611
patrick,haggett,50,bainbridge close,ardess,mona vale,4883,nsw,19840707,36.0,04 44740695,1172947
sylvie,liguoro,84,sturt avenue,,vista,3926,nsw,19670918,,02 82201357,8568724
isabelle,daish,30,cobb crescent,st john of god hospital,rowville,3028,nsw,19100514,31.0,04 19068739,9179687
erin,bentham,38,rubbo crescent,,edgecliff,7018,qld,,40.0,04 10524322,7871344
jacobie,mason,5,wellington street,,shellharbour,3149,qld,,13.0,03 24581082,7183010
thomas,lazaroff,42,bunbury street,north western subrbs post cnt,byford,6076,vic,19090110,27.0,03 11155767,9489409
lauren,,68,,kilvinton village,figtree,2282,nsw,19130714,28.0,07 81592785,6136591
jaden,baleibaravi,38,mcbryde crescent,,parkerville,2444,wa,19811012,31.0,08 78431688,7914903
jack,steinert,17,cloncurry street,creston,berwick,4557,vic,19321102,28.0,03 28804732,1463606
jared,nguyen,5,croton street,,winston hills,2265,wa,19260303,,02 48791565,3743778
jack,blake,60,long place,strathleven,toorak,2590,vic,19790104,37.0,03 01803187,3607706
thomas,clarke,92,altson circuit,,coramba,5108,sa,19770414,31.0,02 44809158,9984595
jakob,steed,18,mort street,,cranbourne,4370,nsw,19240520,35.0,03 80562912,3857797
alec,sirbu,1,mcdougall street,shasti,moss vale,2200,qld,19440701,27.0,04 80516902,9063160
isabelle,ryan,69,mcconnel crescent,ardrossan,ryde,3021,nsw,19330916,29.0,07 54546669,7974387
sarsha,colegate,141,hambidge crescent,,matraville,3032,nsw,19830419,31.0,03 75649940,1694591
lily,towey,9,wrixon street,,nunawading,6061,vic,19140622,19.0,08 19591612,9680834
joshua,clarke,83,dalley crescent,,christies beach,,vic,,31.0,03 79395087,1390092
georgia,hyland,,jamieson crescent,nazareth village,leeton,6208,nsw,19850721,,07 74224825,3343150
mitchell,lowe,17,waller crescent,,belrose,,vic,19641118,21.0,03 68368611,6692708
christopher,ayres,97,disney court,,north ryde,5087,nsw,19790621,32.0,,5913680
grace,nguyen,6,brereton street,folscoit,pakenham,3018,act,,26.0,03 12810922,1760088
joshua,wastell,37,greenough circuit,tesbury,broken hill,2251,vic,19581101,25.0,07 26138848,8783253
ethan,hamon,,streeton drive,,st andrews,3556,nsw,19520928,20.0,03 81606310,8663024
schkirra,donaldson,13,swinden street,,south perth,3088,qld,19650405,24.0,08 83139002,8489696
bella,madigan,,thomas hales place,redlands,avondale heights,2088,nsw,19260922,19.0,03 65138777,4133701
joshua,thiessen,9,fowles street,,marrara,2093,sa,,22.0,02 04483337,4445348
mitchell,white,49,pindari crescent,rsd frareen,belgrave,2429,vic,19390603,38.0,03 79356466,7384473
charlotte,cholawinskyj,4,garrick street,else wares,carnegie,4701,,19670830,6.0,08 57510320,2315170
alisa,dixon,33,wootton crescent,,figtree,6006,vic,19550526,24.0,07 21670910,1114944
lawson,britten,16,longerenong street,,brown hill,3038,wa,19260819,32.0,04 39934524,9236567
zack,stephenson,163,wybalena grove,emu hill,east sydney,2905,nsw,,,08 72158132,9110847
cooper,jehle,63,stromlo crescent,,orelia,0830,sa,19420201,30.0,03 24030193,1432856
kyle,ryan,22,paul coe crescent,,fairlight,2519,nsw,19250118,,02 52744407,1939755
joel,westbrook,21,andrews street,,warra,4121,nsw,19640710,8.0,08 55623381,1939378
lachlan,paterson,118,boolee street,,burleigh heads,6076,nt,19880130,29.0,04 40650374,1552933
kelsey,hebberman,12,gascoyne circuit,,jesmond,3163,nsw,19340706,29.0,08 75163817,3676799
bianca,mortlock,189,crisp circuit,,carnegie,2550,wa,19511016,32.0,02 63874441,8940606
andrew,green,66,coranderrk street,,elwood,2289,vic,19750309,33.0,02 30602443,6658741
isabella,greenhalgh,41,steinwedel street,,stratford,4680,nsw,19321220,,08 44105658,7074104
ethan,keelty,14,lincoln close,,calista,2250,qld,19251014,23.0,08 77762155,7402589
leah,browne,26,,ballarkona,rye,2640,,19840218,32.0,02 01996426,9711456
emiily,burford,7,peake place,,ashgrove,3844,sa,19840508,37.0,08 84949302,3815182
finley,godfrey,4,ashcroft crescent,corn hill,westmeadows,2257,tas,19460626,31.0,04 71023185,8648003
shawn,mccarter,27,mosman place,,adelaide,6401,tas,19580214,20.0,08 47540102,2277225
felicity,donkin,57,dalgarno close,,mount perry,2480,nsw,19960824,41.0,03 17438262,3967883
jye,,18,reeves street,,rothwell,2284,nsw,19801023,,07 46134205,1038465
kyle,snelling,42,maitland street,,blackbutt,6532,wa,19910724,35.0,,2750361
emma,au,5,fraser court,,,3153,wa,,27.0,03 32826115,7177976
ruby,snell,2,chuculba crescent,gowrie,como,3579,nsw,,31.0,03 29465826,8581772
tate,,15,mccawley street,silverbrook,salisbury heights,3165,nsw,19191110,34.0,02 15768949,5919769
amber,eskrigge,3,elsey street,john flynn medical centre,dalby,4670,vic,19790117,31.0,03 85214810,2791393
samantha,clarke,17,trenwith close,,oaklands park,5112,,19551117,38.0,03 46939709,4962872
john,reid,15,angliss place,,goonellabah,4753,,19461220,30.0,08 21764175,4512880
kirra,hearn,13,fitzhardinge crescent,,murray bridge,2166,vic,19991118,,07 92820766,2948936
mitchell,helen,33,hellyer street,shepherd lodge,gilmore,2209,vic,19490325,27.0,07 74810780,3962842
phoebe,miles,28,finn street,,bundeena,4717,tas,19260222,,04 91342761,5616649
samuel,barmore,5,maribyrnong avenue,,marshall,5600,,,12.0,08 66673707,8713206
luke,stitz,132,warramoo crescent,,buddina,3183,vic,19671218,28.0,04 07267722,9371886
liam,bakirtzakis,998,costello circuit,,durras south,6148,qld,19210913,,08 61932223,7326369
aidan,papathomas,35,george street,,orelia,2173,wa,,38.0,03 05133441,9922215
liam,clarke,237,heritage road,the shanty,hoppers crossing,5074,vic,19350105,26.0,02 32174460,3706466
olivia,dumbrell,23,sharwood crescent,evenstar,eatons hill,3060,qld,19000324,32.0,02 82168731,4429198
claire,hearn,48,barr-smith avenue,,cabramatta,6107,wa,19880423,26.0,,2100977
alexander,white,22,haystack crescent,,torrensville,4178,,19781004,34.0,08 27388996,9451726
emiily,dinnison,24,schlich street,,mount isa,4350,qld,19410205,,02 18398890,3770763
douglas,braunack,12,hopkins street,fiveways,page,4214,,19600216,28.0,04 16343520,6236039
ned,van der hoek,9,wybalena grove,jeir park,kings park,6030,vic,19670301,19.0,02 23731652,8913040
joshua,ikeda,20,derrington crescent,,dromana,5157,sa,19580810,24.0,07 80970700,9583568
ella,robson,19,burn street,flr 5 john flynn medical centre,thursday island,7018,nsw,,,04 16613216,8661745
matthew,green,86,bisdee street,,bedford park,6232,qld,,34.0,02 99197957,5278268
isabelle,dallas,187,mcclure street,,ashwood,5127,vic,19260307,33.0,02 82386465,1995533
hannah,weaver,34,carslaw street,nioka,,2761,vic,19420624,13.0,03 75608757,3364713
zarran,matthews,31,chevalier street,,rowville,2170,nsw,19070104,29.0,04 98123336,3288146
,clarke,33,collocott crescent,nootina,embleton,2605,nsw,19650718,,,4315488
lachlan,ryan,21,lamble place,,old bar,3168,,19230223,31.0,,9121468
amy,quilliam,27,rischbieth crescent,,belrose,4221,qld,19560422,,,8802236
ella,fassina,18,scarlett street,,castlemaine,4160,,19351009,28.0,08 32815939,8445026
bethany,dudley,51,eugenia street,edrington park re,south yunderup,2263,,19130215,,07 94296395,4368641
keelin,wardle,2,newman morris circuit,cranleigh,gulargambone,4075,,19640508,,02 44478750,8637624
amy,youngs,25,marquet retreat,amh representative,pallamallawa,7270,wa,19080501,37.0,07 81760418,5899886
mikayla,fernance,68,conder street,,camp hill,4054,nsw,19610413,33.0,08 14541484,4861676
peter,reid,43,platt place,,yagoona,3030,nsw,19121019,35.0,08 11793876,1987801
mia,matthews,28,jasper close,,mount pleasant,7050,qld,19480211,25.0,,4547795
hollie,hand,32,woodfull loop,,hawthorn,2117,act,19470902,,02 94587913,5756895
olivia,ryan,36,mainwaring rich circuit,kinvarra,port elliot,2019,vic,19380809,21.0,08 27163274,3194823
tarshya,ho,6,duggan street,,springvale south,2304,qld,19630918,37.0,02 85359015,4982143
deakin,bradshaw,38,maclean street,,orange,6018,nsw,19920906,12.0,02 61256870,7261468
esme,krollig,28,dominion circuit,evergreen,mount eliza,,wa,19730502,35.0,07 57956008,9414491
ella,deckert,8,clianthus street,,burpengary,2220,vic,19220909,33.0,08 13875565,2764340
zachary,hathaway,26,allara street,,worongary,2160,qld,19320512,8.0,03 43293949,4571175
emiily,white,38,dallachy place,,osborne park,2463,sa,19760327,,03 40562877,6533084
callum,coquia,43,saville close,,penrith,3400,nsw,19180127,26.0,04 82748477,2290875
ryan,lock,9,gascoyne circuit,lyndon caves,ashwood,2230,nsw,19460130,34.0,08 36443135,9313389
james,ryan,4,mary potter circuit,,belrose,2430,qld,,28.0,08 19617735,9860878
ella,wilkins,9,wray place,the willows,belgrave,4740,nsw,,28.0,08 50096029,9762511
madison,lete,5,moorhouse street,,dungog,2261,wa,19371115,13.0,07 14407283,8901356
mason,,1,burtt crescent,,black rock,4306,nsw,19860813,25.0,08 30668313,5446370
thomas,mate,72,rivett street,,greenfield park,2213,qld,19680701,,03 29735769,6859870
riley,lowe,9,denovan circuit,the meadows,tatura,4670,wa,19410205,27.0,,8610622
heath,sandiford,26,outtrim avenue,,glenwood,7000,sa,19710202,19.0,08 28046637,2465701
madeleine,lock,7,alabaster street,mervingle hill,timbumburi,2516,qld,,23.0,02 02689186,6036559
lachlan,paterson,1,larakia street,tallaranie,junee,4872,wa,,27.0,02 68503742,3398140
harrison,coleman,29,dryandra street,st francis vlge,nunawading,4122,vic,19670603,37.0,02 97841743,9037436
jesse,mckiernan,39,fullerton crescent,,kingsford,2906,nsw,19911204,39.0,04 21358040,8362098
ryan,ritzau,72,currong street,oakglen,ballina,3083,nsw,19390513,,02 44272758,8679800
alexander,stearnes,62,atherton street,glenanare,clayton,2540,nsw,,21.0,08 57991767,7193077
isabelle,astley,34,ern florence crescent,,preston,2195,nsw,19490328,26.0,08 44591354,6326465
adam,bishop,472,nungara street,,alice springs,4810,vic,19480924,,08 48082019,5550168
kaitlin,crook,3,tenison-woods circuit,,strathalbyn,2260,qld,19250130,37.0,02 49217256,2294044
erin,clapham,61,cockerill place,,elanora heights,2643,qld,19880312,34.0,02 55196112,9172022
callum,feleppa,78,chandler street,hulstone,,4570,,19721124,27.0,07 65939131,3437351
anari,stubbs,55,mcdonald street,,aldinga beach,2517,qld,19601106,33.0,07 42501571,8395309
sarah,ting,10,gregson place,,moree,2680,sa,19750925,29.0,07 75983936,1920611
dylan,ayres,9,wellington street,nioka,arundel,4566,vic,19510503,24.0,03 99491119,6496589
saara,swiggs,9,mura close,,thornlands,5033,vic,19830827,,08 41677839,1683218
evan,weaver,38,calvert street,,saunders beach,6008,nsw,,38.0,04 75738753,2019491
mitchell,concannon,73,mollee crescent,,brandon,2527,nsw,19320318,31.0,08 84871001,9878966
samantha,o'shannessy,,irvine street,,st kilda,2067,wa,19050813,6.0,04 62214959,4206019
william,goetze,20,torrens street,fairway views,macquarie fields,4807,tas,19610213,32.0,07 82822242,3304015
emma,braciak,,carina street,balmoral garden,wyong,3147,nsw,19160131,,03 70146622,6669680
hannah,krishnananthan,19,annan close,,bundaberg,3821,vic,19930808,29.0,04 74761534,7218275
kayla,steinert,67,leahy close,kurrajong,graceville,5048,,19750709,26.0,02 75622838,1125768
hayden,,104,tenison-woods circuit,,hoppers crossing,6105,nsw,19550713,,02 91430906,6347166
zachary,vantatenhove,1,reader court,kildurham,bicton,3037,vic,19071018,24.0,04 36945800,8841057
jade,every,25,slessor crescent,st francis vlge,bayonet head,4161,,19730916,24.0,04 01727661,7131125
kye,nicolle,31,carr crescent,,tarragindi,3337,nsw,19650120,25.0,,7404972
,,11,hyndes crescent,,bull creek,2340,qld,19821124,35.0,08 11033376,5507022
taliah,campbell,5,kinsella street,,hannam vale,4854,nsw,19261215,,07 27380724,6568182
bethany,kyriacou,4,wynn street,riversdale caravan park,keilor east,2747,vic,19921119,30.0,08 05195286,4606719
adam,crosswell,8,lambrigg street,,whyalla,4730,vic,,21.0,04 60140635,2628748
arabella,innis,52,summerland circuit,villa 2,surfers paradise,2300,nt,19300617,33.0,03 51835887,3132611
noah,braithwaite,31,namadgi circuit,,robina,2660,nsw,19940913,29.0,02 14131498,4405275
jamilla,excell,30,bow place,yarrandale,north ward,2232,tas,19050605,31.0,04 87875744,2638876
destynii,chuck,23,duffy street,,nairibin,2518,,,28.0,08 02161924,6519639
mollie,clarke,9,amaroo wallaroo road,,east maitland,2259,qld,19361124,40.0,07 36043367,6361854
james,boyle,22,truganini place,southern cross,hammondville,2234,vic,19120915,34.0,02 33532135,7507814
amber,crouch,5,tarana street,,rossmore,2100,,19090402,12.0,02 78595088,6688556
callum,riddell,30,nambucca street,,sheidow park,5291,,19531125,36.0,02 64292286,4931664
connor,crook,315,arkana street,,clifton springs,2489,nsw,19720829,,04 66505293,9000274
mikayla,donaldson,5,gundulu place,,merrimac,4285,sa,19860420,,04 11657009,7543748
jasmine,harrington,109,leahy place,,st albans,2048,qld,19481125,39.0,07 48331061,4517539
ashlie,hingston,4,hanretty place,,pymble,2153,nsw,19710612,16.0,07 25894222,1914568
amy,webb,,musgrove street,,gilmore,3061,vic,,35.0,03 14937999,6631650
jordan,breedt,36,burkitt street,,wyoming,7322,sa,19620920,26.0,08 48975627,3303696
teal,herbert,139,powlett street,,mountain creek estate,6003,nsw,19730622,,04 06253684,3323239
madeline,suang,15,throsby crescent,,berwick,3106,nsw,19811024,29.0,04 74986185,4174021
isabel,reid,3,meymott place,,balcatta,4118,nsw,19530618,29.0,07 11838611,5099783
william,grimsley,23,inlander crescent,,hawthorne,3030,tas,19870327,,,9109100
toby,worony,152,holyman street,wyoming park,mosman,2487,wa,,34.0,,8972947
meg,kooymans,2,grylls crescent,,mont albert,3380,qld,19500121,22.0,04 52767446,4533985
adriana,boyes,35,griffith place,,shoalwater,5095,wa,19071102,27.0,04 34048484,6202733
hannah,dreckow,,bandjalong crescent,,camperdown,3064,nsw,19340427,30.0,03 95571471,6867084
nicholas,penno,16,michell street,rosetta village,kellyville,4350,vic,19320808,20.0,08 61835660,4203254
kira,shepherd,8,tarrant crescent,telopea park,balhannah,3170,nsw,19170225,,02 29310227,5154785
liam,boyle,13,claxton crescent,,west lakes shore,3158,,19710917,,04 55027556,1103454
richard,mcgargil,10,fawkner street,,seaton,3020,wa,19480119,37.0,,4265785
paris,kubenk,169,westgarth street,,yambuk,2285,nsw,19311025,39.0,08 28472581,1802457
nicholas,arvanitakis,248,kriewaldt circuit,,petersham,2257,,19331126,39.0,08 40544207,2732176
sara-louise,webb,118,musson close,hobart private hospital (cnr argyle),lockhart,2200,vic,19441008,,02 35417213,5395751
ethan,croker,14,bainbridge close,,bayview,3196,vic,19560221,40.0,02 27002026,9057908
hannah,rundle,66,beasley street,,,2192,vic,19631229,,03 00669864,6327041
ruby,roxburgh,385,namatjira drive,,nunawading,2325,vic,19720429,33.0,04 28329519,7797573
ty,nayilibidj,22,kirkton street,,adelaide,3132,vic,19240412,28.0,07 14852807,8265558
mitchell,hewson,18,namatjira drive,,palm cove,2112,nsw,19000113,29.0,07 57158974,3431168
lochlan,caire,57,wattle street,elston,wantirna,6018,nsw,19710811,38.0,07 70252946,3038895
kristin,white,,pocket avenue,,lalor,5090,qld,19060819,22.0,08 54125840,9320469
,tyack,38,greenough circuit,,torquay,2299,vic,19020930,27.0,04 32226958,8490269
jacob,maynard,39,noble close,,cremorne,2118,nsw,19480215,38.0,08 44823176,3142989
kristin,yun,47,cassinia street,,concord,2156,,19330920,25.0,07 05612769,2411254
jack,hannagan,227,eungella street,,st clair,4873,vic,19681005,24.0,03 32140611,8343604
ned,biec,188,coolac place,post office road,golden valley,2806,nsw,19210417,23.0,08 08876417,6907228
mollie,nguyen,21,wattle street,,echuca east,3555,,19830712,28.0,02 63847460,2049846
abbie,hanigan,20,morton street,markool,o'connor,2066,sa,,29.0,02 48564648,8692360
giorgia,fitzpatrick,2,macrossan crescent,raffa estate,cook,4064,wa,19230602,,08 23027124,5680277
samuel,mcgurk,17,tullaroop street,marina one,dongara,2084,nsw,,33.0,07 89241959,5030684
harley,thorpe,12,crisp circuit,,parkdale,2065,act,19440720,,03 96030354,7177520
hayden,ryan,33,moorhouse street,,pymble,4034,,19971020,31.0,04 49147047,2987172
alyssa,rees,,julia flynn avenue,,swan hill,4217,vic,19290601,,04 37123145,1703239
andrew,hyles,65,stonehaven crescent,,hazelwood north,5039,sa,19801206,22.0,07 29184840,9513768
jack,holmyard,8,ellwood crescent,locn 411,blacktown,2018,qld,19090121,31.0,02 64746887,9920579
ruby,coulton,29,anderson street,,adelaide,3730,vic,19980813,32.0,02 35740744,6064458
william,alves,19,chewings street,,toowoomba,2767,nsw,19330220,12.0,04 14802116,8763536
alexander,mccarthy,6,crozier circuit,downlands farm,hectorville,4061,qld,19451107,,08 68802254,7446309
helena,nguyen,219,lampard circuit,wombat hill,beveridge,4559,qld,19490711,38.0,07 18574219,9278073
joshua,cutcliffe,,lee-steere crescent,,pooraka,2032,wa,19030709,30.0,04 87604734,2546226
braedon,ryan,18,brennan street,,ascot,3878,nsw,19460115,11.0,02 72102429,7962802
madison,noble,21,jarman place,riverpark lodge,ethelton,3216,nsw,19070729,24.0,08 54389241,3532005
samantha,green,30,ryan street,,winston hills,7140,qld,19691106,28.0,02 63836906,3460418
jack,bruhn,29,bremer street,,carina heights,3690,nsw,19600404,28.0,07 27674065,8524132
flynn,crouch,69,crafer place,,blackmans bay,3218,vic,19030526,22.0,03 85952290,6201551
stephanie,campbell,11,kurundi place,cobbedah,montagu bay,5162,vic,19560309,,02 28902706,5078344
raquel,papazafiropoulos,67,macrobertson street,,manunda,2210,,19710904,32.0,03 51647051,7085742
thomas,gulliver,39,rupp place,mortlach,vincentia,4051,tas,19130406,13.0,02 43322186,1461657
,shadbolt,,,,north sydney,2154,vic,19840307,21.0,07 65094635,8187982
caitlin,toseland,11,hollway street,,bayview heights,2290,qld,19440823,20.0,02 04969927,8432162
james,whetstone,34,fornax street,,elwood,4575,nsw,19721016,,08 35756589,5449681
samantha,colquhoun,21,forbes street,,wentworth,5035,tas,19920715,35.0,07 64727245,5561840
jett,weaver,34,brockway circuit,sec 64,coolum beach,6239,nsw,19221220,28.0,02 70131632,5791457
owen,priest,25,gorrie close,ethelton,prahran east,3744,nsw,19260227,,08 33007819,1953447
abbey,laing,16,bywaters place,lemnos,llandilo,5210,qld,19900221,14.0,02 47548299,6631342
dylan,maynard,28,baracchi crescent,,greenacre,2452,nsw,19150527,11.0,02 48093233,3468148
taylah,boyle,58,callaway crescent,,tighes hill,2077,nsw,19960508,,08 53287065,6391242
daniel,tomney,71,whitelaw street,,buninyong,4510,nsw,19980129,30.0,04 42301306,3970287
hayden,,4,woollum street,,cronulla,5608,sa,19840703,28.0,04 06465637,1173653
brydon,chadburn,19,mcclure street,,forrestfield,6010,sa,19971005,20.0,02 67333330,7192139
lucinda,kalnins,121,,,mount eliza,3136,,19610804,12.0,08 76624600,9517708
stella,niznik,65,brassey street,kames,camp hill,4505,vic,19941102,,03 71831856,8519688
cassandra,harjanta,71,newlop street,,taree,3031,qld,19970121,,03 55784699,9147447
jasmine,sporn,8,were street,,hawthorne,3556,vic,19080529,,03 31426264,7605219
andrew,kang,114,elvire place,berkeley vlge,thornlie,4650,vic,19760216,33.0,03 13787353,6165387
jack,haemel,2,tepper circuit,,old toongabbie,2064,wa,19320901,29.0,03 31689191,3982546
carly,hilton,25,yumba avenue,ellwood,mill park,5048,vic,,,07 97389782,9024494
kelsey,bishop,32,sproule circuit,twin top,austral eden,5031,sa,19450613,,07 67912505,5477010
oliver,gillard,290,demaine crescent,,lysterfield,3156,nsw,19081121,,07 90816196,5253515
emiily,large,14,meredith circuit,greenwood,floreat,2500,,19400605,22.0,08 16679559,6462946
megan,ryan,8,tullaroop street,eurunderee,woy woy,2485,nsw,19770529,26.0,07 25203407,7633482
dillon,kilmartin,10,hare place,,elizabeth park,3216,vic,,32.0,08 96225696,3555410
shawn,dudek,45,pogney place,dp 808602,palm cove,2354,qld,19911101,29.0,04 34181110,4560823
mackinley,menzies,89,haddon street,,wanneroo,6530,,19000205,28.0,04 52478876,8658424
carmen,thorpe,20,eugenia street,sect 179,yarra junction,5013,qld,,29.0,08 89228121,1381018
aleisha,papageorgiou,18,morrow street,,medina,4053,qld,19591118,23.0,07 14966162,9590008
taylah,waller,10,priestley place,indooroopilly shopping centr,coleambally,4383,nsw,19220507,27.0,04 41231416,3455025
maddison,pattie,53,mcgrowdie place,,modbury heights,2480,vic,19600628,28.0,04 15057282,2133130
hannah,steed,102,leeper place,brentwood vlge,leichhardt,3802,tas,19940502,32.0,04 77782308,8321955
madalyn,clarke,3,bishop place,,new farm,4804,nsw,19961214,25.0,07 08633782,6498377
lucy,d'apollonio,,mayne street,,meadow springs,,nsw,19110320,40.0,08 80543601,6010360
deakin,canizares,17,may maxwell crescent,,new town,3106,nsw,19240528,21.0,04 06809410,7072600
ellouise,ferris,,florence taylor street,cotton tree caravan park,bacchus marsh,6082,,19440828,25.0,07 76544392,7047287
kierra,rees,20,morrison street,,sunshine,2710,vic,19770622,23.0,08 88310690,6136567
erin,insley,132,little place,unt 2,lower templestowe,6050,nsw,19450416,32.0,04 02309266,4898474
bethany,patience,546,english court,dalkeith cottage,yamba,6239,nsw,19220305,28.0,02 53866559,1379622
timothy,coulson,228,cussen street,,sanctuary point,2534,tas,19070609,27.0,07 20021320,5822355
zack,curry,18,ardlethan street,,dianella,2478,nsw,19850501,22.0,03 76746218,4227794
danjel,white,176,lawrence crescent,,cabramatta west,4122,vic,19290830,31.0,07 81116933,1611425
mia,morrison,44,shackleton circuit,yatcha,north ryde,2145,nsw,19601214,,04 14117456,8347964
tara,matthews,10,morton street,dargam,safety bay,3939,vic,,28.0,02 02238274,6447644
meg,david,16,bullock circuit,,albion park rail,4305,nsw,19160427,35.0,07 78434943,5294397
ruby,mew,26,seymour place,brentwood village,tannum sands,4211,vic,19310610,31.0,08 35893650,2225335
mia,kiss,11,bellchambers crescent,kurrajong,caulfield north,5108,act,19900722,28.0,08 39953878,2170725
lucy,bralic,27,fremantle drive,hazelwood garden,wilston,3910,qld,19221118,31.0,08 88490440,7684441
emiily,white,22,enderby street,,dalby,6155,qld,19730822,34.0,02 18112673,7921376
vendula,cionci,73,rivett street,doctors flat,kirwan,4740,vic,19260929,25.0,02 56315800,8424179
madison,hassold,110,pocket avenue,,ashfield,5010,nsw,19510905,23.0,03 73995978,9809144
joshua,rawlings,19,,altona,bethanga,2068,vic,19310314,34.0,03 35089387,9703089
hana,teague,22,gurrang avenue,forestdale,branxton,3128,nsw,19390213,31.0,03 18488900,1105580
riley,willing,89,violet grover place,,northbridge,7250,nsw,19130225,29.0,03 41332331,9402700
hannah,de angelis,487,jaeger circuit,acton park,kingsford,2607,sa,19361017,34.0,03 27278860,8976721
brianna,campbell,1,davenport street,abervle ret vllge,berwick,2228,,19340519,25.0,03 29129512,4201588
charles,chiappetta,17,harkness street,,hastings,5159,nsw,19490320,34.0,,3149553
jai,kaithakulam,27,sid barnes crescent,,armidale,4350,nsw,19340131,,02 04257348,4469105
kira,carbone,24,somerset street,,bondi junction,4510,nsw,19460909,30.0,,9168193
zachary,narracott,29,,,keilor,3183,nsw,19871003,11.0,07 14248536,7382935
madeline,parr,27,canberra avenue,warialda,st kilda east,4865,tas,19910611,24.0,03 73712940,2403122
emiily,ryan,,jelbart street,,burwood,2478,qld,19030501,9.0,08 60755578,4539971
lauren,ryan,28,grayson street,,north ryde,2067,nsw,19251230,32.0,08 29192452,8211121
tayah,lamprey,50,leahy close,tyrone heights,gorokan,4305,nsw,19600122,26.0,02 23631366,7727704
